modalidad,subtipo_propuesto,grupo_codigo_propuesto,grupo_nombre_propuesto,cantidad_practicas,ejemplos
ECO,DOPPLER,ECO_DOPPLER,Doppler,28,ECODOPPLER 4 VASOS DE CUELLO | ECODOPPLER AORTA ABDOMINAL | ECODOPPLER AORTA TORACICA | ECODOPPLER AORTA CAVA RAMAS VISCERALES | ECODOPPLER AORTOILIACO
ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,23,ECOESTRESS CON EJERCICIO | ECOGRAFIA AORTA ABDOMINAL DINAMICA Y | ECOGRAFIA CEREBRAL -CON MODO B Y A- | ECOGRAFIA COMPLETA DE ABDOMEN | ECOGRAFIA DE CADERA UNI/BILATERAL
MAM,MAMOGRAFIA,MAM_MAMOGRAFIA,Mamografía,6,MAMOGRAFIA - ADICIONAL TECNICA DE EKLUND | MAMOGRAFIA CON MAGNIFICACION BILATERAL | MAMOGRAFIA CON MAGNIFICACION UNILATERAL | MAMOGRAFIA PROYECCION AXILAR | MAMOGRAFIA SENOGRAFIA
RAD,RADIOGRAFIA,RAD_RADIOGRAFIA,Radiografía,29,CISTOURETROGRAFIA MICCIONAL - CISTOURE | COLON P/ENEMA EVACUADO Y DOBLE CONTRAS- | HISTEROSALPINGOGRAFIA C/PRUEBA DE COTTE | RADIOSCOP C/CIRCUITO CERRADO DE TV | RX ABDOMEN SUBSIGUIENTE
RES,SIMPLE,RES_SIMPLE,Resonancia simple,65,ANESTESIA MINIMA | ANESTESIA PARA RMN | ARTRORESONANCIA C/INYECCION DE GADOLINIO | DEXAMETASONA EV | DIFENHIDRAMINA
RES,ANGIO,RES_ANGIO,Resonancia Angio,23,ANGIORES ARTER SUBCL Y VASOS DIST M SUP | ANGIORES BY PASS AXILOFEMORAL C/GADOLINO | ANGIORES BY PASS FEMOROPOPLITEO C/GADOLI | ANGIORESON DEL ENDOCRANEO S/CONTRASTE | ANGIORESONAN BY PASS OTROS
TOM,SIMPLE,TOM_SIMPLE,Tomografía simple,73,BLOQUEO FACETARIO BAJO TAC | BLOQUEO PERIDURAL BAJO TAC | BLOQUEO RADICULAR BAJO TAC | BLOQUEO RADICULAR Y/O FACETARIO SELECTIV | CONTRASTE
TOM,ANGIO,TOM_ANGIO,Tomografía Angio,20,ANGIOTAC OTROS ORGANOS | ANGIOTOMOGRAFIA ABDOMINAL | ANGIOTOMOGRAFIA AORTA ABDOMINAL | ANGIOTOMOGRAFIA ARTERIAL CON RECONSTRUCC | ANGIOTOMOGRAFIA CARDIACA
TOM,CONTRASTE,TOM_CONTRASTE,Tomografía con contraste,9,TAC ALTA RESOLUCION PULMONAR CON CTE | TAC MACIZO FACIAL CON CTE | TAC MANO CON CTE | TAC ORBITAS CON CTE | TAC ORBITAS SIN CTE
TOM,SIN_CONTRASTE,TOM_SIN_CONTRASTE,Tomografía sin contraste,1,TAC CEREBRAL DE CONTROL (S/CONTRASTE)
