archivo,hoja,fila_excel,prestacion,nombre_original,base_practica,modalidad,subtipo_propuesto,grupo_codigo_propuesto,grupo_nombre_propuesto,angio,con_contraste,sin_contraste,difusion,observacion
Prácticas-Ecografías.xls,Practicas,4,900137,ECODOPPLER 4 VASOS DE CUELLO,ECODOPPLER 4 VASOS DE CUELLO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,5,900092,ECODOPPLER AORTA ABDOMINAL,ECODOPPLER AORTA ABDOMINAL,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,6,180604,ECODOPPLER AORTA TORACICA,ECODOPPLER AORTA TORACICA,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,7,900175,"ECODOPPLER AORTA, CAVA, RAMAS VISCERALES",ECODOPPLER AORTA CAVA RAMAS VISCERALES,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,
Prácticas-Ecografías.xls,Practicas,8,180616,ECODOPPLER AORTOILIACO,ECODOPPLER AORTOILIACO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,9,900046,ECODOPPLER ARTERIAL MM INFERIORES,ECODOPPLER ARTERIAL MM INFERIORES,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,10,900045,ECODOPPLER ARTERIAL MM SUPERIORES,ECODOPPLER ARTERIAL MM SUPERIORES,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,11,180615,ECODOPPLER ARTERIAS SUBCLAVIAS,ECODOPPLER ARTERIAS SUBCLAVIAS,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,12,900009,ECODOPPLER CARDIACO,ECODOPPLER CARDIACO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,13,900025,ECODOPPLER CAROTIDO VERTEBRAL,ECODOPPLER CAROTIDO VERTEBRAL,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,14,180203,ECODOPPLER CIRCULACION PORTAL,ECODOPPLER CIRCULACION PORTAL,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,15,900688,ECODOPPLER CON ANALISIS DE STRAIN,ECODOPPLER CON ANALISIS DE STRAIN,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,16,901122,ECODOPPLER DERMATOLOGICO,ECODOPPLER DERMATOLOGICO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,17,180204,ECODOPPLER ESPLENICO-CAVA,ECODOPPLER ESPLENICO-CAVA,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,18,900199,ECODOPPLER HEPATICO,ECODOPPLER HEPATICO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,19,900453,ECODOPPLER HUESOS NASALES,ECODOPPLER HUESOS NASALES,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,20,900160,ECODOPPLER MAMARIO,ECODOPPLER MAMARIO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,21,900401,ECODOPPLER OVARIO,ECODOPPLER OVARIO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,22,180120,ECODOPPLER PARTES BLANDAS,ECODOPPLER PARTES BLANDAS,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,23,900086,ECODOPPLER PELVIANO,ECODOPPLER PELVIANO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,24,900019,ECODOPPLER RENAL,ECODOPPLER RENAL,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,25,900029,ECODOPPLER TESTICULAR,ECODOPPLER TESTICULAR,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,26,900037,ECODOPPLER TIROIDES,ECODOPPLER TIROIDES,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,27,900402,ECODOPPLER TOCOGINECOLOGICO,ECODOPPLER TOCOGINECOLOGICO,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,28,900044,ECODOPPLER TRANSVAGINAL,ECODOPPLER TRANSVAGINAL,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,29,900374,ECODOPPLER VASOS PENEANOS CON DROGAS VASOACTIVAS,ECODOPPLER VASOS PENEANOS CON DROGAS VASOACTIVAS,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,30,900048,ECODOPPLER VENOSO MM INFERIORES,ECODOPPLER VENOSO MM INFERIORES,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,31,900047,ECODOPPLER VENOSO MM SUPERIORES,ECODOPPLER VENOSO MM SUPERIORES,ECO,DOPPLER,ECO_DOPPLER,Doppler,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,32,180304,ECOESTRESS CON EJERCICIO,ECOESTRESS CON EJERCICIO,ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,33,180117,ECOGRAFIA AORTA ABDOMINAL DINAMICA Y,ECOGRAFIA AORTA ABDOMINAL DINAMICA Y,ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,34,180107,ECOGRAFIA CEREBRAL -CON MODO B Y A-,ECOGRAFIA CEREBRAL -CON MODO B Y A-,ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,35,180112,ECOGRAFIA COMPLETA DE ABDOMEN,ECOGRAFIA COMPLETA DE ABDOMEN,ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,36,900038,ECOGRAFIA DE CADERA UNI/BILATERAL,ECOGRAFIA DE CADERA UNI/BILATERAL,ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,37,900036,ECOGRAFIA DE MIEMBRO INFERIOR,ECOGRAFIA DE MIEMBRO INFERIOR,ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,38,900022,ECOGRAFIA DE PARTES BLANDAS,ECOGRAFIA DE PARTES BLANDAS,ECO,ECOGRAFIA,ECO_ECOGRAFIA,Ecografía,False,False,False,False,base_no_separada
