archivo,hoja,fila_excel,prestacion,nombre_original,texto_completo,base_practica,angio,con_contraste,sin_contraste,difusion,es_material,tiene_modificador,observacion
Prácticas-Ecografías.xls,Practicas,2,3003841,ABBOCATH 14,3003841 | 0 | ABBOCATH 14 | ABBOCATH 14 |  | Ecografia | ECOGRAFIA | Set de Farmacia | No |,ABBOCATH 14,False,False,False,False,True,False,posible_material_o_insumo;base_no_separada
Prácticas-Ecografías.xls,Practicas,3,3009186,AGUJA MAGNUM PARA BIOPSIA 18G X 25 CM,3009186 | 0 | AGUJA MAGNUM PARA BIOPSIA 18G X 25 CM | AGUJA MAGNUM PARA BIOPSIA 18G X 25 CM |  | Ecografia | ECOGRAFIA | Set de Farmacia | No |,AGUJA MAGNUM PARA BIOPSIA 18G X 25 CM,False,False,False,False,True,False,posible_material_o_insumo;base_no_separada
Prácticas-Ecografías.xls,Practicas,4,900137,ECODOPPLER 4 VASOS DE CUELLO,900137 | 0 | ECODOPPLER 4 VASOS DE CUELLO | ECODOPPLER 4 VASOS DE CUELLO |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER 4 VASOS DE CUELLO,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,5,900092,ECODOPPLER AORTA ABDOMINAL,900092 | 0 | ECODOPPLER AORTA ABDOMINAL | ECODOPPLER AORTA ABDOMINAL |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER AORTA ABDOMINAL,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,6,180604,ECODOPPLER AORTA TORACICA,180604 | 0 | ECODOPPLER AORTA TORACICA | ECODOPPLER AORTA TORACICA |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER AORTA TORACICA,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,7,900175,"ECODOPPLER AORTA, CAVA, RAMAS VISCERALES","900175 | 0 | ECODOPPLER AORTA, CAVA, RAMAS VISCERALES | ECODOPPLER AORTA, CAVA, RAMAS VISCERALES |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler",ECODOPPLER AORTA CAVA RAMAS VISCERALES,False,False,False,False,False,False,
Prácticas-Ecografías.xls,Practicas,8,180616,ECODOPPLER AORTOILIACO,180616 | 0 | ECODOPPLER AORTOILIACO | ECODOPPLER AORTOILIACO |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER AORTOILIACO,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,9,900046,ECODOPPLER ARTERIAL MM INFERIORES,900046 | 0 | ECODOPPLER ARTERIAL MM INFERIORES | ECODOPPLER ARTERIAL MM INFERIORES |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER ARTERIAL MM INFERIORES,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,10,900045,ECODOPPLER ARTERIAL MM SUPERIORES,900045 | 0 | ECODOPPLER ARTERIAL MM SUPERIORES | ECODOPPLER ARTERIAL MM SUPERIORES |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER ARTERIAL MM SUPERIORES,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,11,180615,ECODOPPLER ARTERIAS SUBCLAVIAS,180615 | 0 | ECODOPPLER ARTERIAS SUBCLAVIAS | ECODOPPLER ARTERIAS SUBCLAVIAS |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER ARTERIAS SUBCLAVIAS,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,12,900009,ECODOPPLER CARDIACO,900009 | 0 | ECODOPPLER CARDIACO | ECODOPPLER CARDIACO |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER CARDIACO,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,13,900025,ECODOPPLER CAROTIDO VERTEBRAL,900025 | 0 | ECODOPPLER CAROTIDO VERTEBRAL | ECODOPPLER CAROTIDO VERTEBRAL |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER CAROTIDO VERTEBRAL,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,14,180203,ECODOPPLER CIRCULACION PORTAL,180203 | 0 | ECODOPPLER CIRCULACION PORTAL | ECODOPPLER CIRCULACION PORTAL |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER CIRCULACION PORTAL,False,False,False,False,False,False,base_no_separada
Prácticas-Ecografías.xls,Practicas,15,900688,ECODOPPLER CON ANALISIS DE STRAIN,900688 | 0 | ECODOPPLER CON ANALISIS DE STRAIN | ECODOPPLER CON ANALISIS DE STRAIN |  | Ecografia | ECODOPPLER | Práctica | Sí | Doppler,ECODOPPLER CON ANALISIS DE STRAIN,False,False,False,False,False,False,base_no_separada
